English,Hindi,Original
"If the ""genuineness"" criteria was adopted a visa applicant could be scrutinised about ""whether the nomination is genuine in circumstances where the nominee is a relation or personal associate of an owner or relevant person of the sponsoring business.""","यदि """"अनुष्‍यता को गोद लिया गया था तो """"""""""""""""""""""के बारे में विनियमित किया जा सकता था,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""इन्‍थारक्‍थाक्‍थान""""""""""""""","यदि ""प्रमाणिकता"" मानदण्ड को अपनाया जाता तो, वीजा आवेदक की जांच इस बारे में की जा सकती है कि ""क्या नामांकन ऐसी परिस्थितियों में सच्चा है, जिसमें नामांकित व्यक्ति, वीजा प्रायोजित करने वाले व्यक्ति के स्वामी अथवा सुसंगत व्यक्ति का सम्बन्धी अथवा व्यक्तिगत साथी है’।"
Businesses could also be required to account for the number of 457 visa holders after previously businesses who had intended to sponsor a small number of workers then employed hundreds.,"पिछले व्यवसायों के बाद 457 आयामी उद्योगों की संख्या के लिए व्यापार की आवश्यकता भी हो सकती है, जिन्होंने तब सैकड़ों मजदूरों की एक छोटी संख्या का आयोजन करने का इरादा रखा था।","व्यवसायियों को 457 वीजा धारकों की संख्या की गणना रखने की आवश्यकता हो सकता है, क्योंकि पहले व्यवसायी जो कि कम संख्या में कर्मचारियों को प्रायोजित करना चाहते थे, ने सैकड़ों लोगों को काम पर रख लिया।"
"Meanwhile, a 35-year-old Sri Lankan asylum seeker died of a suspected heart attack after arriving on an asylum boat at Christmas Island this week.","इस बीच, इस सप्ताह क्रिसमस द्वीप पर एक संरक्षण जहाज पर आने के बाद एक संदिग्ध दिल के दौरे की मृत्यु हो गई।","इस दौरान, 35 वर्षीय श्रीलंकाई शरण साधक, इस सप्ताह क्रिसमस आईसलैण्ड पर एक शरणार्थी नाव में आने के पश्चात संदिग्ध हृदयाघात से मर गया।"
The man's distraught nine-year-old son travelled to Australia with him and has been comforted since the death of his father on Wednesday by an adult cousin who was also on the vessel.,"पुरुष के नौ वर्ष के बेटे ने उसके साथ ऑस्ट्रेलिया में कदम रखा और बुधवार को एक बड़े भाई द्वारा अपने पिता की मृत्यु से सांत्वना मिली, जो भी बर्तन पर था।","उस व्यक्ति का व्याकुल नौ वर्षीय पुत्र उसके साथ यात्रा पर ऑस्ट्रेलिया आया हुआ था, तथा बुधवार को उसके पिता की मृत्यु के पश्चात उसके एक वयस्क चचेरे भाई ने ढांढस बंधाया है, जो कि उसी पोत पर थे।"
"Australian authorities rushed the man to Christmas Island Hospital, where he died.","ऑस्ट्रेलिया के अधिकारियों ने उस आदमी को क्रिसमस द्वीप अस्पताल ले जाया, जहां वह मर गया।","ऑस्ट्रेलियाई अधिकारियों ने उस व्यक्ति को क्रिसमस आईसलैण्ड अस्पताल पहुंचाया, जहां पर उसकी मृत्यु हो गई।"
A study aiming to increase the benefits to Scotland of the HS2 rail project has been announced by the UK government.,भारत सरकार द्वारा एचएस2 रेल परियोजना केवविद्यालय को लाभ बढ़ाने का एक अध्ययन उद्देश्य की घोषणा की गई है।,ब्रिटिश सरकार द्वारा HS2 रेल परियोजना से स्कॉटलैंड के लाभों में वृद्धि के लिए अध्ययन की घोषणा की गई है।
The work by HS2 Ltd suggests high-speed services to Scotland and the north of England will start as soon as Phase One opens in 2026.,एचएसएस2 एलटी द्वारा दिए गए कार्य से ऑस्ट्रेलिया के उच्च-संकृत सेवाओं का सुझाव मिलता है और इंग्लैंड का उत्तर जल्द ही 2026 में शुरू हो जाएगा।,"HS2 द्वारा कार्य स्कॉटलैंड और इंग्लैंड के उत्तरी भाग में उच्च गति सेवाओं को इंगित करते हैं, जो 2026 में प्रथम चरण के साथ जल्द ही शुरू हो जाएंगे।"
"Transport minister Baroness Kramer said the project would ""bring the UK together.""","परिवहन मंत्री बारोश्वर ने कहा कि परियोजना """"एक साथ यूके का पालन करेगी।""","परिवहन मंत्री बैरोनेस क्रेमर ने बताया कि इस परियोजना से ""ब्रिटेन एक हो जाएगा।"""
"Scottish transport minister Keith Brown said he was ""excited"" to work with the UK government on the plan.","कानूनी तौर पर परिवहन मंत्री कीथ ब्राउन ने कहा कि वह योजना पर यूके सरकार के साथ काम करने के लिए ""अनुश"" था।","स्कॉटलैंड के परिवहन मंत्री कीथ ब्राउन ने कहा कि इस परियोजना पर ब्रिटेन सरकार के साथ काम करके वे बहुत ""उत्साहित"" हैं।"
Phase One will consist of a new high speed rail line between London and the West Midlands.,प्रधानमंत्री एक लंदन और पश्चिम मिंबद के बीच एक नई तेजी वाली रेल लाइन से बना होगा।,प्रथम चरण में लंदन और वेस्ट मिडलैंड्स के बीच नई उच्च गति रेल लाइन शामिल होगी।
"When Phase Two is completed, lines will run to Manchester and Leeds.","जब दो चरण पूरे होते हैं, तब लाइन मैनमन और लेड तक चलती रहेगी।","दूसरा चरण पूरा हो जाने पर, लाइनें मैनचेस्टर और लीड्स तक पहुँच जाएँगी।"
In June the government revised the estimated cost of building the high-speed link between London and the North of England from £32.7bn to £42.6bn.,जून में सरकार ने लंदन और इंग्लैंड के बीच उच्च-संकृत कड़ी बनाने की अनुमानित लागत को 32 रुपए से लेकर 4.6बी तक स्थापित किया।,जून में सरकार ने लंदन और उत्तरी इंग्लैंड के बीच उच्च गति लिंक के निर्माण की लागत को £32.7 बिलियन से संशोधित करके £42.6 बिलियन कर दिया।
"The UK government, which has been holding talks with Transport Scotland, has instructed HS2 Ltd to look at further rail capacity and journey time improvements for northern England and Scotland.","UK सरकार, जो परिवहन कॉलेज के साथ व्याख्यान संचालित कर रही है, ने उत्तर इंग्लैंड और स्कॉटलैंड के लिए अतिरिक्त रेल क्षमता और यात्रा समय सुधार करने के लिए निर्देशित किया है।","ब्रिटिश सरकार ने, जो स्कॉटलैंड परिवहन से बातचीत कर रही थी, HS2 लिमिटेड को उत्तरी इंग्लैंड और स्कॉटलैंड के लिए रेल क्षमता और यात्रा के समय को और बेहतर बनाने की संभावनाओं पर विचार करने का निर्देश दिया।"
This is to include the possibility of eventual journey times from Glasgow and Edinburgh to London of three hours or less.,इसमें तीन घंटे या उससे कम लंदन तक आगामी यात्रा की संभावना शामिल है।,इसमें ग्लासगो और एडिनबर्ग से लंदन तक संभावित यात्रा समय को तीन घंटे या कम करने की संभावना शामिल है।
"Baroness Kramer said: ""Our goal for HS2 is for a truly national network that will bring the UK and its cities closer together.""","""""""""""एसएस2 के लिए हमारा उद्देश्य वास्तव में राष्ट्रीय नेटवर्क के लिए है जो यूके और इसके शहरों को एक साथ निकट ले आएगा।""","बैरोनेस क्रेमर के अनुसारः ""HS2 के लिए हमारा लक्ष्य वास्तविक राष्ट्रीय नेटवर्क है, जो यूके और उसके शहरों को करीब लाएगा।"""
We are driving forward HS2 because the benefits it will bring are huge.,हम आगे बढ़ते हुए एचएस2 चला रहे हैं क्योंकि इससे लाभ बहुत बड़ा होगा।,"हम HS2 के साथ आगे बढ़ रहे हैं, क्योंकि इसके लाभ बहुत अधिक होंगे।"
Without it we face a crisis in capacity on our rail network.,इसके बिना हम अपनी रेल नेटवर्क पर एक संकट का सामना करते हैं।,इसके बिना हम अपने रेल नेटवर्क की क्षमता से संबंधित समस्याओं का सामना करेंगे।
"But it is also about connectivity, across the UK 18 cities including Glasgow and Edinburgh will be better connected because of HS2.","लेकिन यह 18 शहरों के बारे में भी कनेक्ट हो रहा है, जिनमें विनियमित और एडिनबर्ग भी शामिल हैं, एचएस2 की वजह से बेहतर जुड़े होंगे।","लेकिन यह ग्लासगो और एडिनबर्ग सहित ब्रिटेन के 18 शहरों की कनेक्टिविटी के बारे में भी है, जो HS2 के कारण और अच्छी तरह जुड़ जाएंगे।।"
"Scottish Secretary Alistair Carmichael added: ""Today's announcement is good news for Scotland.""","""""""""""""""""""""""""""आज की घोषणा1 के लिए शुभ समाचार है।""","स्कॉटिश सचिव एलिस्टेयर कारमाइकल के अनुसारः ""आज की घोषणा स्कॉटलैंड के लिए अच्छी ख़बर है।"""
"For the Scottish government, Keith Brown called on Mr Carmichael to ""unequivocally"" back Scotland's inclusion in the HS2 network.","टन सरकार के लिए, कीथ ब्राउन ने """"नृत्‍य रूप से """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" को """"""एसएसएस2 नेटवर्क में शामिल किया।","स्कॉटिश सरकार के लिए, कीथ ब्राउन ने श्री कारमाइकल से HS2 नेटवर्क में स्कॉटलैंड की ""स्पष्ट"" वापसी की अपील की।"
"Mr Brown said: ""High speed rail has the potential to bring huge economic benefits to Scotland, but also adds Scotland's economic weight to the overall case for high speed rail across Britain.""","श्री ब्राउन ने कहा: ""कम गति की रेल के पास अक्सर आर्थिक लाभ लाने की क्षमता है, लेकिन ब्रिटेन भर में उच्च गति की रेल के लिए कैमरून के आर्थिक वजन को भी आगे बढ़ाता है।""","श्री ब्राउन ने बतायाः ""उच्च गति रेल से स्कॉटलैंड को भारी आर्थिक लाभ होने की संभावना तो है, लेकिन इससे पूरे ब्रिटेन में उच्च गति रेल के पूरे मामले में स्कॉटलैंड पर आर्थिक भार भी बढ़ेगा।"
"So we are excited to work in partnership with the UK Government to examine options for bringing high speed rail to Scotland, creating benefit for all and complementing the Glasgow-Edinburgh line which the Scottish Government is already planning.","इसलिए हम भारत सरकार के साथ भारत सरकार को उच्च गति की रेल लाने के विकल्पों की जांच करने के लिए काम करने के लिए प्रोत्साहित कर रहे हैं, जो सभी के लिए लाभ पैदा करती है और उस पर सरकार पहले से ही योजना बना रही है।","इसलिए हम ब्रिटिश सरकार की भागीदारी में कार्य करने के प्रति उत्साहित हैं, ताकि हम स्कॉटलैंड में उच्च गति रेल लाने, सभी के लिए लाभ का सृजन करने और ग्लासगो-एडिनबर्ग लाइन की पूर्ति करने हेतु विकल्पों की जांच कर सकें, जिसकी स्कॉटिश सरकार पहले से ही योजना बना रही है।"
I look forward to reviewing the report of the investigation with UK ministers next year and together decide on the next steps.,मैं अगले साल यूके सेवकों के साथ जांच की रिपोर्ट की समीक्षा करने और अगले चरणों पर साथ-साथ निर्णय लेने की आशा करता हूं।,मैं अगले वर्ष ब्रिटिश सरकार के मंत्रियों के साथ जांच रिपोर्ट की समीक्षा करने और आगे की कार्रवाई पर साथ मिलकर निर्णय लेने के लिए तत्पर हूँ।
Aircraft electronic device rules to stay in force in Australia for now,अब के लिए ऑस्ट्रेलिया में बल में रहने के लिए वायु चाल इलेक्ट्रॉनिक उपकरण नियम,विमान विद्युत उपकरण नियम अभी ऑस्ट्रेलिया में प्रभावी रहेंगे
Australian airline passengers will need to continue turning off their tablets and smart phones during take-off and landing despite moves in the US to loosen regulations covering the devices.,ऑस्ट्रेलिया के हवाई जहाज़ यात्रियों को उपकरणों को खुला रखने के लिए अमेरिका में ले जाने के बावजूद अपनी पटियाओं और स्मार्ट फोनों को बंद करते रहने की आवश्यकता होगी।,"US में उपकरण सम्बन्धित विनियमनों में नरमी बरते जाने वाले कदम के बावजदू, ऑस्ट्रेलियाई वायुयान यात्रियों को उड़ान भरते समय तथा विमान उतरते समय अपने टेब्लेट और स्मार्ट फोन बंद करना जारी रखना होगा।"
"The US Federal Aviation Administration has left the way open for American carriers to change their procedures so that passengers will be able to read e-books, watch videos or play games on their devices during critical phases of flight provided they remain in ""airplane"" mode.","अमेरिका सरकार संघीय संस्थान ने अपनी प्रक्रियाओं को बदलने के लिए अमेरिकी वाहकों के लिए मार्ग खुला रखा है ताकि यात्रियों को ई-बुक, निगरानी के दौरान उड़ान के महत्वपूर्ण चरणों के दौरान अपने उपकरणों पर वीडियो या खेल पढ़ने में सक्षम हो सके।","US संघीय विमानन प्रशासन ने अमेरिकी वायुयान सेवा कम्पनियों को अपने प्रक्रियाएं बदलने के लिए विकल्प खुला छोड़ा है, ताकि उड़ान के महत्वपूर्ण चरणों के दौरान यात्री ई-बुक पढ़ने, वीडियो देखने अथवा अपने उपकरण पर गेम खेलने में सक्षम होंगे, बशर्ते वे उपकरण ""वायुयान"" मोड में रहें।"
Passengers can already do this during the bulk of a flight but many people find it annoying to be unable to access their e-books during take-offs and landings.,यात्री पहले से ही उड़ान के दौरान ऐसा कर सकते हैं लेकिन कई लोगों को अपने ई-पुस्तकों तक पहुँचने में परेशानी होती है।,"यात्री अभी ही बहुत सी उड़ानों के दौरान ऐसा कर सकते हैं, लेकिन बहुत से लोगों को उड़ान भरने तथा विमान उतरते समय अपनी ई-बुक आदि तक पहुँच करने में अक्षम होना अच्छा नहीं लगता।"
"Australian carriers are looking at the decision, which requires US carriers to undertake a massive amount of work to meet the requirements, but have indicated they have no immediate plans to change their procedures.","ऑस्ट्रेलिया के किसान इस निर्णय को देख रहे हैं, जिसमें आवश्यकताओं को पूरा करने के लिए भारी मात्रा में काम करने की आवश्यकता है, लेकिन उन्होंने संकेत दिया है कि उनके प्रक्रियाओं को बदलने के लिए उनके पास कोई तत्काल योजना नहीं है।","ऑस्ट्रेलियाई वायुयान सेवा कम्पनियाँ इस निर्णय पर विचार कर रही हैं, जिसके अनुसार US वायुयान सेवा कम्पनियों को इस आवश्यकता को पूर्ण करने के लिए बहुत अधिक कार्य करने होंगे, लेकिन उन्होंने संकेत दिया है कि अपनी प्रक्रियाओं में परिवर्तन करने के लिए उनके पास कोई तत्काल योजना नहीं है।"
The Civil Aviation Safety Authority also said it was looking at the announcement but emphasised that restrictions on the use of electronic devices in critical phases of flight were still in place in Australia.,सिविल औद्योगिक सुरक्षा अधिकार ने यह भी कहा कि यह घोषणा की जा रही थी लेकिन इस बात पर जोर दिया गया था कि ऑस्ट्रेलिया में उड़ान के कठिन चरणों में इलेक्ट्रॉनिक उपकरणों के उपयोग पर प्रतिबंध अब भी लगा हुआ था।,"नागरिक विमानन सुरक्षा प्राधिकरण ने यह भी कहा कि वह घोषणा के बारे में विचार कर रही है, लेकिन जोर दिया कि ऑस्ट्रेलिया में अभी भी उड़ान के महत्वपूर्ण चरणों में विद्युत उपकरणों के उपयोग पर प्रतिबंध प्रभावी हैं।"
"""CASA currently has no specific regulations governing the use of electronic devices in aircraft,"" it said "" The issue is covered by regulations which require aircraft operators to ensure safety is maintained at all times and passengers to comply with the safety instructions given by crew members.""","""""CAS वर्तमान में विमान में इलेक्ट्रॉनिक उपकरणों का उपयोग करने के लिए कोई विशिष्ट कानून नहीं है,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""वर्तमान में CASA के पास, विमान में विद्युत उपकरणों के उफयोग को नियंत्रित करने वाला कोई विशिष्ट विनियमन नहीं है,"" प्राधिकरण ने कहा, ""यह मुद्दा विनियमनों के अन्तर्गत आता है, जिसके अनुसार विमान सेवा संचालन कम्पनियों को सुनिश्चित करना होता है कि सुरक्षा व्यवस्था हमेशा पूरी तरह से बनी हुई है, तथा यात्रियों को चालक दल के सदस्यों द्वारा दिए जाने वाले सुरक्षा निर्देशों का अनुपालन करना होता है।"""
"Virgin, which has already been talking to CASA about extending the use its in-flight wi-fi entertainment system, was amenable to a change but said it would take its lead from the regulator.","मूल रूप से, जो पहले से ही सीएएसए से अपना उपयोग बढ़ाने के बारे में बात कर रहा है, वह एक परिवर्तन के लिए योग्य था लेकिन कहा कि यह नियामक से अपना नेतृत्व लेगा।","वर्जिन जो अपने इन-फ्लाइट वाई-फाई मनोरंजन सिस्टम के उपयोग को विस्तारित करने के बारे में CASA के साथ पहले से ही बातचीत कर रही है, वह इस परिवर्तन का पालन करने के लिए तैयार है, लेकिन उसने विनियामक के निर्देश पर आगे की कार्यवाही करने के लिए कहा।"
"""We would welcome a review by CASA into allowing the use of electronic devices because we really do think it will improve the customer experience now that we have (wireless in-flight entertainment) on our planes,"" a spokesman said.","""हम सीएएसएसए द्वारा इलेक्ट्रॉनिक उपकरणों का उपयोग करने की अनुमति देने के लिए ईएसएसएसए द्वारा एक समीक्षा का स्वागत करेंगे क्योंकि हम वास्तव में सोचते हैं कि यह अब ग्राहक अनुभव को सुधारेगा कि हमारे हवाई जहाज पर हमारे पास (फाइट) है।"""" एक सलाहकार ने कहा।","प्रवक्ता ने कहा कि ""हम विद्युत उपकरणों के उपयोग की अनुमति दिए जाने के मामले में CASA द्वारा समीक्षा का स्वागत करेंगे, क्योंकि हमें वास्तव में ऐसा लगता है कि यह ग्राहकों को बेहतर अनुभव प्रदान करेगा, क्योंकि अब हमारे पास (वायरलेस इन-फ्लाइट मनोरंजन) हमारे विमानों में है।"
Qantas said it would stick with the current rules for now.,मानस ने कहा कि यह अब के लिए वर्तमान नियमों से जुड़ा रहेगा।,क्वांटास ने कहा कि यह अभी वर्तमान नियमों का पालन करेगी।
"""Our current policy is that electronic devices cannot be used during take-off and landing and we have no immediate plans to change that,"" it said.","""हमारी वर्तमान नीति यह है कि उड़ान भरने के दौरान इलेक्ट्रॉनिक उपकरणों का उपयोग नहीं किया जा सकता है और हमें इसे बदलने की कोई तत्काल योजना नहीं है।""","इसने कहा कि ""हमारी वर्तमान नीति के अनुसार उड़ान भरने तथा विमान उतरने के दौरान विद्युत उपकरणों का उपयोग नहीं किया जा सकता है, तथा इसे परिवर्तित करने की हमारे पास कोई तत्काल योजना नहीं है।"""
The FAA ruling applies to American airlines.,एफएएएए राज अमेरिकी विमानों पर लागू होता है।,"FAA निर्णय, अमेरिकी एलरलाइनों पर लागू होते हैं।"
"However, we are always interested in regulatory developments that could benefit passengers and we will certainly be taking a close look at the FAA's decision and the reasons behind it.","हालांकि, हम नियामक विकासों में हमेशा रुचि रखते हैं जो यात्रियों को लाभ पहुँचा सकते हैं और हम निश्चित रूप से एफए के निर्णय और इसके पीछे के कारण देखते रहेंगे।","वैसे, हम हमेशा ही ऐसे विनियामक विकासों में रुचि रखते हैं, जो यात्रियों को लाभ पहुंचा सकें तथा हम निश्चित रूप से FAA के निर्णय तथा उसके पीछे के कारणों पर विचार करेंगे।"
"For US carriers, the impact of the ruling will vary from airline to airline and will depend on the age of their fleet.","अमेरिका वाहकों के लिए, शासन का प्रभाव विमान से अलग होगा और उनके बेड़े की आयु पर निर्भर रहेगा।","इस निर्णय का प्रभाव, प्रत्येक US वायुयान सेवा कम्पनी पर अलग-अलग होगा तथा उनके विमान की आयु पर निर्भर करेगा।"
"Carriers will need to prove their planes can tolerate radio interference from mobile devices as well as revise manuals, training materials, carry-on baggage programs and passenger briefings.","कार्टरों को अपने विमानों को साबित करने की आवश्यकता होगी ताकि वे मोबाइल उपकरणों से रेडियो हस्तक्षेप, प्रशिक्षण सामग्री, ले-पर सामान और यात्री सामान ले जा सकें।","वायुयान सेवा कम्पनियों को यह प्रमाणित करने की आवश्यकता होगी कि उनके विमान मोबाइल उपकरणों से रेडियो व्यतिकरण को सहन कर सकते हैं, साथ ही उन्हें अपनी नियम पुस्तिकों, प्रशिक्षण सामग्री, कैरी-ऑन बैगेज प्रोग्राम तथा यात्रियों को संक्षिप्त विवरण देने में संशोधन करना होगा।"
"""Once an airline verifies the tolerance of its fleet, it can allow passengers to use handheld, lightweight electronic devices such as tablets, e-readers, and smartphones-at all altitudes,"" the FAA said.","""एक बार एक विमान अपने बेड़े की सहनशीलता को मजबूत करता है, यह यात्रियों को हाथ से जाने वाला, हल्का इलेक्ट्रॉनिक उपकरणों का उपयोग करने के लिए सक्षम कर सकता है जैसे कि पटियाओं, ई-पाठों, और स्मार्टफोनों की सभी ऊंचाई पर,"" एफएएएएए ने कहा।","FAA ने कहा कि ""एयरलाइनों द्वारा उनके विमान की सहनीयता के सत्यापन के पश्चात वह यात्रियों को सभी ऊंचाइयों पर हाथ में पकड़ने वाले, हल्के वजन के विद्युत उपकरण जैसे कि टेब्लेट, ई-रीडर्स तथा स्मार्टफोन उपयोग करने की अनुमति देगा।"""
"In rare instances of low visibility, the crew will instruct passengers to turn off their devices during landing.","कम व्‍य के दुर्लभ अवसरों में, चालकों को यात्रियों को यात्रियों को यात्रियों के पैर से उतरने के लिए निर्देशित करेगा।","कम दृश्यता के विरल मामलों में, चालक दल यात्रियों को विमान उतरने के दौरान अपने उपकरण बंद करने का निर्देश देगा।"
The group also recommended that heavier devices should be safely stowed under seats or in overhead bins during take-off and landing.,इस समूह ने यह भी सिफारिश की कि भारी उपकरणों को ले-होर के दौरान सीटों के नीचे या शीर्षके में पकड़े जाने के लिए सुरक्षित रूप से तैयार किया जाना चाहिए।,समूह ने उड़ान भरने तथा विमान उतरने के दौरान भारी उपकरणों को सुरक्षित तरीके से सीट के नीचे रखने अथवा ऊपरी डिब्बों में रखने का सुझाव भी दिया है।
Pawnbrokers shine in Singapore as middle class feel the pinch,"सिंगापुर में चारों ओर काले रंग का रंग है, जैसा कि मध्य वर्ग कंगाल महसूस करता है",सिंगापुर में मध्यम वर्ग द्वारा कठिनाई महसूस किए जाने के कारण पॉनब्रोकर्स की चांदी
"At a pawnshop in Bendemeer shopping centre in Singapore, Janani Amirthalinga is swapping a gold bangle, ring and pair of earrings to pay her daughters"" school fees.","सिंगापुर में बंगाल पुस्‍तकेज सेंटर में, जैनी अमीरलिंग एक सोने के कंगन, अंगूठी और सोने के जोड़ी को अपनी बेटियों को भुगतान करने के लिए बदल रहा है।","सिंगापुर में बेंडेमीयर शॉपिंग सेन्टर में पॉनशॉप में जनानी अमीरथलिंगा अपनी बेटी की स्कूल फीस का भुगतान करने के लिए अपनी सोने की चूड़ी, अंगूठी तथा झुमके देकर नकदी ले रही हैं।"
"""My husband and I have just bought a house so all my money's stuck there,"" Mrs Amirthalinga says.","""मेरे पति और मैंने सिर्फ एक घर खरीद लिया है इसलिए मेरे सारे पैसे वहीं फंस गए हैं,"" श्रीमती अमीरिंग कहती है।","श्रीमती अमीरथलिंगा ने कहा, ""मेरे पति तथा मैने हाल ही में घर खरीदा है, इसलिए हमारा सारा पैसा उसमें फंसा हुआ है।"""
"Even though she earns S$3,000 ($2,400) a month as an administrator and her husband works as well, the monthly family income is insufficient, she says.","हालाँकि वह एक प्रशासक और उनके पति के कार्यों के रूप में एक महीने में $$3,400 रुपये का भुगतान करती है, लेकिन मासिक परिवार आय अपर्याप्त है, वह कहती है।","वे कहती हैं कि, यद्यपि वे एडमिनिस्ट्रेटर के रूप में 3,000 सिंगापुर डॉलर (2,400 यू.एस. डॉलर) कमाती हैं, तथा उनके पति भी नौकरी करते हैं, लेकिन परिवार की मासिक आय अपर्याप्त रहती है।"
"Indeed, such is demand across parts of southeast Asia - where household debt is rising - that ValueMax, where she is carrying out her transaction, this week became the third pawnshop to list on the Singapore stock exchange.","वास्तव में, ऐसी मांग दक्षिण-पूर्व एशिया के हिस्सों के पार है जहां घर का ऋण बढ़ता जा रहा है - वह मूल्य मूल्य है, जहां वह अपने व्यापार से बाहर ले जा रही है, यह सप्ताह सिंगापुर के स्टॉक बदले सूची पर तीसरी पैदल बना।","वास्तव में, दक्षिण-पूर्व एशिया के हिस्सों में ऐसी ही मांग है - जहां घरेलू ऋण में वृद्धि हो रही है - वैल्यूमैक्स जहां वे अपना लेनदेन कर रही हैं, इस सप्ताह सिंगापुर स्टॉक एक्सचेन्ज पर सूचीबद्ध होने वाली तीसरी पॉनशॉप बन गई।"
"Pawning jewellery is not merely a fast way to land cash - S$1,300 in Ms Amirthalinga's case - but almost as cheap as unsecured bank loans.","समुद्री रत्नी केवल तेजी से भूमि नकदी - एस100, एमएथिंग के मामले में300 तक नहीं है - लेकिन लगभग सुरक्षित बैंक ऋण के रूप में उपयोगी है।","आभूषण गिरवी रखना नकदी प्राप्त करने का एकमात्र तरीका नहीं है - सुश्री अमीरथलिंगा के मामले में 1,300 सिंगापुर डॉलर - बल्कि लगभग असुरक्षित बैंक लोन जितना सस्ता भी है।"
"Typically pawnbrokers in Singapore charge an effective annual percentage rate of 17 per cent, just above the 15.4 per cent offered at United Overseas Bank, a local lender with a branch in the same shopping centre.","सिंगापुर में विशिष्ट रूप से टेकरोकर 17 प्रतिशत की एक प्रभावी वार्षिक प्रतिशत दर का भुगतान करते हैं, सिर्फ 154 प्रतिशत से ऊपर, संयुक्त राज्य बैंक में दिए गए 154 प्रतिशत से ऊपर, उसी खरीदारी केंद्र में शाखा के साथ एक स्थानीय ऋणी।","आम तौर पर सिंगापुर में पॉनब्रोकर 17 प्रतिशत प्रति वर्ष ब्याज लेते हैं, जो युनाइटेड ओवरसीज बैंक द्वारा पेश किए जाने वाले 15.4 प्रतिशत से थोड़ा ही अधिक है, जो स्थानीय ऋणदाता है जिसकी उसी शॉपिंग सेन्टर में शाखा है।"
"However, pawnbrokers have the advantage of not requiring credit checks or proof of salary, and can arrange loans faster than banks.","लेकिन, पैदल छोड़ने वाले को क्रेडिट जांच या वेतन के प्रमाण की आवश्यकता नहीं है, और बैंक से अधिक तेजी से ऋण प्रदान कर सकते हैं।","तथापि, पॉनब्रोकर्स के पास क्रेडिट की जांच अथवा वेतन का प्रमाण की आवश्यकता न होने का लाभ है, तथा वे बैंक की तुलना में अधिक तेजी से ऋण उपलब्ध करा सकते हैं।"
Hence millions of people across the region are turning to pawnshops as families feel the squeeze from rising living costs and ballooning household and consumer debt.,इसलिए क्षेत्र भर में लाखों लोग पैदल चले जा रहे हैं क्योंकि परिवारों के लोग बढ़ते रहने के लागत और घरेलू और उपभोक्ता ऋण से दबाव महसूस कर रहे हैं।,परिवारों द्वारा जीवन-यापन के बढ़ते हुए खर्चों तथा घरेलू और उपभोक्ता ऋण में वृद्धि के कारण कठिनाई का सामना करने के कारण इस क्षेत्र में लाखों लोग पॉनशॉप का रुख कर रहे हैं।
